"","id","publish","title","viewCount","likeCount","dislikeCount","commentCount"
"260","l043BUJMyfI","2012-01-31T08:59:14.000Z","Salyu 「Lighthouse」 MV Full ver.",620286,1550,40,80
"261","brec06BA6JU","2012-02-01T15:00:00.000Z","salyu ×　salyu / ただのともだち　from 「s(o)un(d)beams+」",346802,2498,32,83
"262","l3IJ1BhJ8d0","2012-01-26T02:23:23.000Z","鴉「蒼き日々」MUSIC VIDEO",250866,388,20,27
"263","7LDhe6JwlVM","2012-01-25T18:15:18.000Z","SHIKATA / Dear... My friend",36466,91,6,4
"264","YEEd8KAC1S0","2012-01-25T04:27:05.000Z","salyu × salyu ""s(o)undbeams+"" Special Movie",248316,74,5,3
"265","Btr4oFR2W6c","2012-01-18T09:00:00.000Z","salyu × salyu  / 奴隷 from 「s(o)un(d)beams+」",156498,784,11,33
"266","TlsqBtTEirI","2012-01-16T15:48:17.000Z","湘南乃風／BEST LIVE DVD&CD 『風伝説TOUR2011』",690461,156,13,29
"267","bbDHZ1BLo3g","2012-01-07T08:00:00.000Z","でんぱ組.inc 1stワンマンLIVE ［ダイジェスト］",169414,653,16,33
"268","g22fyxIAm8Y","2011-12-31T15:00:00.000Z","AYABIE「メリーゴーランド -Life-」Full ver.",147271,920,46,NA
"269","DChoNWcIbLw","2011-12-28T03:00:00.000Z","salyu × salyu ""話したいあなたと""MV Full ver.",321474,2321,29,94
"270","ijY_gvzh12A","2011-12-23T15:00:00.000Z","AYABIE「メリーゴーランド  -Life-」",33537,235,7,33
"271","7Xtd1PzXaic","2011-12-21T15:00:00.000Z","Salyu「Lighthouse」prevue_2012.2.1 Release",44703,73,3,11
"272","e4kB1g0fKIA","2011-12-14T12:20:00.000Z","でんぱ組.inc「くちづけキボンヌ」Full size",1079183,2927,67,NA
"273","5u6lCFDZlrs","2011-12-07T17:29:35.000Z","NOVELS 『umbrella』Music Video",71259,287,13,31
"274","3COQSeoEWIg","2011-11-29T06:28:20.000Z","藍坊主「藍空大音楽祭 ～the very best of aobozu～ at 日本武道館」ダイジェスト",50734,89,1,8
"275","RyNipSMEmyI","2011-11-29T06:23:31.000Z","藍坊主「生命のシンバル」MV",619877,1376,27,107
"276","8gt4q2fVjE4","2011-11-28T12:02:39.000Z","Salyu 11/30(水）19:00～ YouTube Live 配信決定!!",24222,38,4,6
"277","vK8NYweKgz0","2011-11-17T12:10:31.000Z","ゆず　LIVE FILMS 「2-NI-」 ダイジェスト版",381346,895,25,74
"278","X8OmaXEHp04","2011-11-16T03:28:57.000Z","SHIKATA / I still...",22204,40,3,3
"279","PuuZmVLAOn8","2011-11-14T03:45:13.000Z","S.R.S　『遠くの町』 Music Video",46422,137,3,4
"280","04__41Etzn4","2011-11-08T03:52:02.000Z","ゆず 「翔」",371683,471,14,29
